puesto,nombre,lat,lon,libres,mecanicas,electricas,timestamp,barrio
2,001 Fuente Dorada,41.65229,-4.72663,19,3,0,2026-09-23 13:50:43 CEST,NA
3,002 Plaza Madrid,41.64782,-4.7257204,21,4,0,2026-09-23 13:50:43 CEST,NA
4,003 Estación de Tren,41.643311,-4.726401,17,5,0,2026-09-23 13:50:43 CEST,NA
5,004 Plaza Circular,41.64675,-4.71676,15,6,0,2026-09-23 13:50:43 CEST,NA
6,005 Plaza Trinidad,41.657097,-4.7301516,18,9,0,2026-09-23 13:50:43 CEST,NA
7,006 Plaza Santa Cruz,41.6508644,-4.720593,9,2,0,2026-09-23 13:50:43 CEST,NA
8,007 Plaza Poniente,41.6528,-4.73154,14,16,0,2026-09-23 13:50:43 CEST,NA
9,008 Paseo Filipinos,41.645182,-4.733784,15,6,0,2026-09-23 13:50:43 CEST,NA
10,009 Plaza Zorrilla,41.648,-4.72903,15,5,0,2026-09-23 13:50:43 CEST,NA
11,010 Cadenas de San Gregorio,41.657894,-4.7220414,7,4,0,2026-09-23 13:50:43 CEST,NA
12,011 Facultad Medicina,41.6545919,-4.7164646,21,2,0,2026-09-23 13:50:43 CEST,NA
13,012 Teatro Cervantes,41.649218,-4.72289,16,2,0,2026-09-23 13:50:43 CEST,NA
14,013 CASA DEL ESTUDIANTE- CLÍNICO,41.6571454,-4.7178985,18,3,0,2026-09-23 13:50:43 CEST,NA
15,014 Plaza de San Miguel,41.6552,-4.72752,4,10,0,2026-09-23 13:50:43 CEST,NA
16,015 Plaza de la Libertad,41.653071,-4.7246185,12,8,0,2026-09-23 13:50:43 CEST,NA
17,016 Plaza Caño Argales,41.6466578,-4.7228175,17,7,0,2026-09-23 13:50:43 CEST,NA
18,017 PLAZA DE SAN JUAN,41.65071,-4.71746,20,3,0,2026-09-23 13:50:43 CEST,NA
19,018 Duque de la Victoria,41.6502313,-4.7263028,13,3,0,2026-09-23 13:50:43 CEST,NA
20,019 Angustias,41.65561,-4.72373,8,7,0,2026-09-23 13:50:43 CEST,NA
21,020 MARÍA DE MOLINA,41.649817,-4.730482,18,3,0,2026-09-23 13:50:43 CEST,NA
22,101 Fuente El Sol,41.66545,-4.734976,7,5,0,2026-09-23 13:50:43 CEST,NA
23,102 Calle del Abedul,41.66952,-4.7305,8,1,0,2026-09-23 13:50:43 CEST,NA
24,103 Calle Jupiter,41.66221,-4.73668,7,5,0,2026-09-23 13:50:43 CEST,NA
25,201 CENTRO CÍVICO ESGUEVA,41.65905,-4.71488,19,1,0,2026-09-23 13:50:43 CEST,NA
26,202 Campus Miguel Delibes,41.6616694,-4.7078573,17,1,0,2026-09-23 13:50:43 CEST,NA
27,203 Plaza Ribera de Castilla,41.66581,-4.71812,5,14,0,2026-09-23 13:50:43 CEST,NA
28,204 COLEGIO ENTRE RÍOS,41.6638882,-4.7210549,14,5,0,2026-09-23 13:50:43 CEST,NA
29,205 HOSPITAL RONDILLA,41.659017523032524,-4.725539004324181,5,9,0,2026-09-23 13:50:43 CEST,NA
30,206 Calle del Portillo de Balboa #1,41.6607146,-4.7210671,11,3,0,2026-09-23 13:50:43 CEST,NA
31,207 Av. Santander 16,41.66757,-4.70898,6,1,0,2026-09-23 13:50:43 CEST,NA
32,208 Facultad Ciencias Económicas,41.6578465,-4.7105734,12,7,0,2026-09-23 13:50:43 CEST,NA
33,209 Paseo del Cauce,41.6543103,-4.7117588,12,5,0,2026-09-23 13:50:43 CEST,NA
34,210 Plaza de los Vadillos,41.65065,-4.7134,14,3,0,2026-09-23 13:50:43 CEST,NA
35,301 Centro Cívico Zona Este,41.64499,-4.7114,12,3,0,2026-09-23 13:50:43 CEST,NA
36,302 Plaza Mayo,41.6425875,-4.6934712,7,2,0,2026-09-23 13:50:43 CEST,NA
37,303 Calle de la Golondrina,41.64849451148893,-4.70331289733605,13,3,0,2026-09-23 13:50:43 CEST,NA
38,304 Calle de la Cigüeña,41.6480093,-4.7087843,8,2,0,2026-09-23 13:50:43 CEST,NA
39,305 Calle del Cometa,41.654665,-4.7020881,10,7,0,2026-09-23 13:50:43 CEST,NA
40,306 Centro Cívico Pilarica,41.652194,-4.708457,6,4,0,2026-09-23 13:50:43 CEST,NA
41,401 Avenida Segovia,41.6425023,-4.721336,13,13,0,2026-09-23 13:50:43 CEST,NA
42,402 Calle Arca Real,41.629807,-4.727158,7,8,0,2026-09-23 13:50:43 CEST,NA
43,403 Paseo Arco de Ladrillo,41.63511,-4.72962,12,4,0,2026-09-23 13:50:43 CEST,NA
44,404 Calle de Andalucía,41.644155,-4.717204,6,10,0,2026-09-23 13:50:43 CEST,NA
45,405 Plaza Gutiérrez Semprún,41.641661,-4.71653,12,7,0,2026-09-23 13:50:43 CEST,NA
46,406 Paseo de Juan Carlos I,41.637808,-4.7174639,20,3,0,2026-09-23 13:50:43 CEST,NA
47,407 Calle General Shelly,41.635799309442156,-4.722096,12,10,0,2026-09-23 13:50:43 CEST,NA
48,408 Calle de Embajadores,41.6325134,-4.7227304,13,4,0,2026-09-23 13:50:43 CEST,NA
49,501 Ctra. Segovia - UEMC,41.6264,-4.71702,18,4,0,2026-09-23 13:50:43 CEST,NA
50,502 Calle de Peñalara,41.61738,-4.71778,5,1,0,2026-09-23 13:50:43 CEST,NA
51,503 Calle de Daniel del Olmo González,41.628,-4.73379,6,2,0,2026-09-23 13:50:43 CEST,NA
52,504 Calle Bronce,41.616119,-4.737315,5,1,0,2026-09-23 13:50:43 CEST,NA
53,505 Calle Plata,41.61745,-4.706254,9,1,0,2026-09-23 13:50:43 CEST,NA
54,506 Calle del Aluminio,41.6219461,-4.7104284,4,2,0,2026-09-23 13:50:43 CEST,NA
55,507 Calle Cromo,41.6266,-4.7054,4,2,0,2026-09-23 13:50:43 CEST,NA
56,508 Calle Cobalto,41.623454,-4.6994,5,1,0,2026-09-23 13:50:43 CEST,NA
57,"601 Paseo Zorrilla, 328",41.6229113,-4.7490006,20,2,0,2026-09-23 13:50:43 CEST,NA
58,602 Casa de la India,41.64094,-4.73323,10,7,0,2026-09-23 13:50:43 CEST,NA
59,"603 Paseo Zorrilla, 132",41.6372585,-4.7392665,10,8,0,2026-09-23 13:50:43 CEST,NA
60,604 Espacio Joven Sur Valladolid,41.631392,-4.740289,16,3,0,2026-09-23 13:50:43 CEST,NA
61,605 Polideportivo Ponce de León,41.642797,-4.738324,18,2,0,2026-09-23 13:50:43 CEST,NA
62,606 Calle Vives,41.634054,-4.741316,13,2,0,2026-09-23 13:50:43 CEST,NA
63,607 Calle Joaquín María Jalón,41.62829168879721,-4.741152201269994,10,3,0,2026-09-23 13:50:43 CEST,NA
64,608 Calle Doctor Moreno,41.6252,-4.740762,12,5,0,2026-09-23 13:50:43 CEST,NA
65,609 Plaza de Toros ,41.640228,-4.737603,12,7,0,2026-09-23 13:50:43 CEST,NA
66,701 CDO Covaresa,41.61266,-4.749598,12,8,0,2026-09-23 13:50:43 CEST,NA
67,702 Calle Atenas,41.618343,-4.764318,8,4,0,2026-09-23 13:50:43 CEST,NA
68,703 Calle José Velicia,41.616687796695324,-4.7570151029633925,5,9,0,2026-09-23 13:50:43 CEST,NA
69,704 Calle de la Alcaparra,41.6142,-4.7613,5,2,0,2026-09-23 13:50:43 CEST,NA
70,705 Calle Ignacio Serrano,41.6097882,-4.7548381,10,5,0,2026-09-23 13:50:43 CEST,NA
71,706 Calle Antonio Machado,41.61418,-4.7536405,15,4,0,2026-09-23 13:50:43 CEST,NA
72,707 Agencia de Innovación,41.6186813,-4.7479052,15,2,0,2026-09-23 13:50:43 CEST,NA
73,708 Calle de Villafrades de Campos,41.6188043,-4.7556287,13,4,0,2026-09-23 13:50:43 CEST,NA
74,709 Calle Ribera del Carrión,41.6176,-4.7439,5,10,0,2026-09-23 13:50:43 CEST,NA
75,710 Calle Santiago Alba,41.608458,-4.748399,12,0,0,2026-09-23 13:50:43 CEST,NA
76,801 Centro Cívico Casa Cuna,41.6307642,-4.7473696,8,9,0,2026-09-23 13:50:43 CEST,NA
77,802 Plaza Marcos Fernandez,41.6361457,-4.7598726,20,1,0,2026-09-23 13:50:43 CEST,NA
78,803 Calle Prof. Adolfo Miaja de la Muela,41.635579,-4.754965,10,5,0,2026-09-23 13:50:43 CEST,NA
79,804 Calle José Garrote Tebar,41.63465,-4.758734,14,2,0,2026-09-23 13:50:43 CEST,NA
80,805 Calle Federico Landrove Moiño,41.632941,-4.75745,9,1,0,2026-09-23 13:50:43 CEST,NA
81,806 Calle Manuel Azaña ,41.636593,-4.76722,7,4,0,2026-09-23 13:50:43 CEST,NA
82,807 Calle de Hernando de Acuña,41.638141,-4.761866,12,5,0,2026-09-23 13:50:43 CEST,NA
83,808 Calle de Manuel Silvela,41.63874,-4.75791,12,4,0,2026-09-23 13:50:43 CEST,NA
84,809 Calle de Mariano de los Cobos,41.638243,-4.74921,11,5,0,2026-09-23 13:50:43 CEST,NA
85,810 Piscina Municipal Parquesol,41.641103,-4.757171,16,2,0,2026-09-23 13:50:43 CEST,NA
86,901 Plaza del Milenio,41.6488,-4.7363,8,5,0,2026-09-23 13:50:43 CEST,NA
87,902 Feria de Valladolid,41.656539,-4.7373551,11,6,0,2026-09-23 13:50:43 CEST,NA
88,903 Plaza Juan Pablo II,41.645781,-4.747139,16,3,0,2026-09-23 13:50:43 CEST,NA
89,904 Complejo Deportivo Los Cerros,41.65567,-4.74454,12,6,0,2026-09-23 13:50:43 CEST,NA
90,905 Centro Municipal José Luis Mosquera,41.649744,-4.7416973,11,7,0,2026-09-23 13:50:43 CEST,NA
91,906 Calle Arado,41.6512,-4.74592,9,7,0,2026-09-23 13:50:43 CEST,NA
92,907 Calle de Rigoberto Cortejoso,41.65339521626344,-4.740091982154589,8,9,0,2026-09-23 13:50:43 CEST,NA
93,"908 Calle Joaquín Velasco Martín, 17",41.64525,-4.74052,8,5,0,2026-09-23 13:50:43 CEST,NA
94,909 Calle Monasterio de Sto Domingo de Silos,41.645253,-4.744917,12,4,0,2026-09-23 13:50:43 CEST,NA
95,910 Calle de las Mieses,41.65875398392146,-4.740906855194649,7,1,0,2026-09-23 13:50:43 CEST,NA
96,"911 Calle Joaquín Velasco Martín, 1",41.652405,-4.736429,10,3,0,2026-09-23 13:50:43 CEST,NA
97,1001 La Overuela,41.69083,-4.70712,6,1,0,2026-09-23 13:50:43 CEST,NA
98,1002 Puente Duero,41.55413,-4.79122,4,4,0,2026-09-23 13:50:43 CEST,NA
105,104 Michelín,41.67525899780841,-4.717117912805389,4,5,0,2026-09-23 13:50:43 CEST,NA
106,1005 Santovenia Centro Civico,41.692504,-4.688387,3,6,0,2026-09-23 13:50:43 CEST,NA
107,1006 Santovenia Calle Fuentona,41.688927,-4.688221,4,4,0,2026-09-23 13:50:43 CEST,NA
109,1004 La Cistérniga Cañada Real,41.60993014466856,-4.685200771697484,6,2,0,2026-09-23 13:50:43 CEST,NA
110,1003 La Cistérniga San Cristóbal,41.61217471776059,-4.688527282651438,5,1,0,2026-09-23 13:50:43 CEST,NA
111,510 Hospital Río Hortega,41.6307,-4.7127,21,4,0,2026-09-23 13:50:43 CEST,NA
112,509 Barrio Arcas Reales,41.621451,-4.729275,8,2,0,2026-09-23 13:50:43 CEST,NA
